,city,lat,lng,max temp,humidity,cloudiness,wind speed,country id,date
217,Longonjo,-12.9067,15.2533,63.61,98,100,2.59,AO,1643404757
218,Grand Gaube,-20.0064,57.6608,79.2,80,5,3.0,MU,1643404757
219,Mitsamiouli,-11.3847,43.2844,80.85,72,91,4.21,KM,1643404757
220,Sungai Besar,3.6746,100.9867,77.05,92,67,4.72,MY,1643404758
221,Vangaindrano,-23.35,47.6,70.61,88,14,4.03,MG,1643404758
222,La Santisima Trinidad,-14.8333,-64.9,78.78,89,75,2.3,BO,1643404758
223,Athabasca,54.7169,-113.2854,37.09,66,88,12.8,CA,1643404759
224,Calama,-22.4667,-68.9333,75.69,19,4,31.07,CL,1643404538
225,Altea,38.5989,-0.0514,49.91,55,6,3.2,ES,1643404759
226,Tazovsky,67.4667,78.7,0.9,97,98,6.46,RU,1643404759
227,San Patricio,28.017,-97.5169,60.17,34,93,11.92,US,1643404760
228,Muscat,23.6139,58.5922,66.22,52,0,1.86,OM,1643404482
229,Ayan,56.45,138.1667,-7.53,73,100,11.21,RU,1643404760
230,Vila Franca do Campo,37.7167,-25.4333,58.19,80,31,9.19,PT,1643404761
231,Ostrovnoy,68.0531,39.5131,10.29,94,88,9.06,RU,1643404761
232,Albacete,38.8333,-2.0,44.19,48,0,6.91,ES,1643404761
233,Bahía Solano,6.2262,-77.4044,80.62,80,53,4.63,CO,1643404762
234,Corowa,-36.0333,146.3833,74.01,85,100,4.36,AU,1643404762
235,Abaza,52.655,90.0928,-7.04,93,19,4.81,RU,1643404762
236,Winslow,35.0242,-110.6974,45.97,28,0,1.99,US,1643404762
237,Hithadhoo,-0.6,73.0833,80.47,62,37,5.3,MV,1643404763
238,Champerico,14.3,-91.9167,90.77,56,3,13.31,GT,1643404763
239,Gladstone,-23.85,151.25,76.93,69,19,11.5,AU,1643404560
240,Kushima,31.4583,131.2333,45.91,77,98,7.07,JP,1643404763
241,Kerrobert,51.9168,-109.1348,35.8,81,94,6.76,CA,1643404764
242,Minuri,16.535,121.8574,70.74,94,54,2.75,PH,1643404764
243,Dikson,73.5069,80.5464,3.74,94,100,18.7,RU,1643404764
244,Vanimo,-2.6741,141.3028,75.88,90,93,4.0,PG,1643404765
245,Sitka,57.0531,-135.33,44.49,81,100,5.75,US,1643404757
246,Togur,58.3631,82.8265,0.37,98,100,5.82,RU,1643404765
247,Neijiang,29.5835,105.0622,40.01,87,100,3.02,CN,1643404766
248,Demyansk,57.643,32.466,29.17,98,100,1.86,RU,1643404766
249,Sobolevo,54.4299,31.8996,31.69,99,100,7.14,RU,1643404766
250,Bengkulu,-3.8004,102.2655,76.48,86,100,2.66,ID,1643404766
251,Neiafu,-18.65,-173.9833,82.96,77,71,20.6,TO,1643404827
252,Chingola,-12.529,27.8838,62.62,97,97,4.09,ZM,1643404827
253,Olafsvik,64.8945,-23.7142,22.5,71,78,22.64,IS,1643404827
254,Maricá,-22.9194,-42.8186,83.26,85,97,2.86,BR,1643404828
255,Bajil,15.0584,43.2851,76.17,77,7,6.33,YE,1643404828
256,Rovaniemi,66.5,25.7167,9.81,85,0,4.61,FI,1643404828
257,Sovetskiy,61.3614,63.5842,-11.56,100,89,2.77,RU,1643404829
258,Pacific Grove,36.6177,-121.9166,71.71,27,0,3.0,US,1643404829
259,Port Elizabeth,-33.918,25.5701,65.1,82,75,12.66,ZA,1643404829
260,Waldkraiburg,48.2085,12.3989,36.25,72,100,8.7,DE,1643404830
261,Barra do Garças,-15.89,-52.2567,77.49,90,55,5.01,BR,1643404830
262,Hasaki,35.7333,140.8333,32.4,48,100,8.75,JP,1643404830
263,Atambua,-9.1061,124.8925,74.26,91,100,4.16,ID,1643404830
264,Kahului,20.8947,-156.47,80.62,57,40,8.05,US,1643404831
265,Poum,-20.2333,164.0167,82.26,76,88,18.03,NC,1643404831
266,Xambioá,-6.4111,-48.5364,75.47,91,97,3.06,BR,1643404831
267,Norman Wells,65.282,-126.8329,-5.76,71,100,8.05,CA,1643404782
268,Leningradskiy,69.3833,178.4167,-10.77,96,90,1.97,RU,1643404558
269,Lake Charles,30.2131,-93.2044,58.98,30,0,17.27,US,1643404832
270,Tortolì,39.9256,9.6572,44.42,93,0,8.05,IT,1643404832
271,Piaçabuçu,-10.4056,-36.4344,80.98,76,100,13.29,BR,1643404832
272,Alihe,50.5667,123.7167,2.23,84,100,5.46,CN,1643404833
273,Saint-Joseph,-21.3667,55.6167,73.78,74,7,7.56,RE,1643404833
274,Dakar,14.6937,-17.4441,71.73,68,0,6.91,SN,1643404656
275,Wenling,28.3669,121.36,43.92,88,100,14.07,CN,1643404833
276,Vao,-22.6667,167.4833,77.52,85,100,21.65,NC,1643404834
277,Nikolskoye,59.7035,30.7861,26.87,96,100,5.93,RU,1643404834
278,Roald,62.5833,6.1333,42.85,81,75,19.57,NO,1643404834
279,Fort Nelson,58.8053,-122.7002,20.79,93,100,6.91,CA,1643404835
280,Sinnamary,5.3833,-52.95,76.55,87,48,9.71,GF,1643404835
281,Los Llanos de Aridane,28.6585,-17.9182,56.95,59,0,11.5,ES,1643404835
